root@duckie:/code/catkin_ws/src/dt-ros-commons/packages/test_package/src# rosrun test_package get_coordinates.py
[INFO] [1740590579.816087]: [/odometry_node] Initializing...
[INFO] [1740590580.083877]: [/odometry_node] Health status changed [STARTING] -> [STARTED]
[INFO] [1740590580.496251]: Left encoder resolution: 135
[INFO] [1740590580.504703]: Right encoder resolution: 135
[INFO] [1740590580.511322]: Left encoder type: 1
[INFO] [1740590580.538197]: Right encoder type: 1
[INFO] [1740590580.624053]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590580.724522]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590580.826330]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590580.924086]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590581.026725]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590581.123993]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590581.224105]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590581.324030]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590581.426231]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590581.524463]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590581.624307]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590581.724053]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590581.823987]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
[INFO] [1740590581.924786]: 0.0|0.0(X:30.00/Y:30.00) | Angle:0.0000 | Heading:0.0
